Date/Time,BS - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),BS - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - CLASSROOM 1:Zone Air Temperature [C](TimeStep),BS - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),BS - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),BS - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - LIBRARY 1:Zone Air Temperature [C](TimeStep),BS - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - QA 1:Zone Air Temperature [C](TimeStep),BS - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - LOBBY 1:Zone Air Temperature [C](TimeStep),BS - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),BS - Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),BS - CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) ,RL - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),RL - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - CLASSROOM 1:Zone Air Temperature [C](TimeStep),RL - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),RL - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),RL - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - LIBRARY 1:Zone Air Temperature [C](TimeStep),RL - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - QA 1:Zone Air Temperature [C](TimeStep),RL - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - LOBBY 1:Zone Air Temperature [C](TimeStep),RL - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),RL - Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),RL - CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 03/18  02:45:00,22.21406183,24,22.30825031,24,22.38243388,24,22.34537028,24,21.93245896,24,22.38455325,24,21.67464634,24,0.0,0.0,-0.675839251,-0.785100037,-2.371564845,-1.179784178,-0.537206801,-0.8508696,-0.618963096,22.21406183,26,22.30825031,25,22.38243388,24,22.34537028,23,21.93245896,24,22.38455325,25,21.67464634,26,0.0,0.0,-0.778818151,-0.887298039,-2.520252965,-1.301355642,-0.639372985,-0.96456235,-0.722718667
 03/18  03:00:00,22.1856611,24,22.28511775,24,22.35947738,24,22.31583915,24,21.89701385,24,22.35489333,24,21.62137205,24,0.0,0.0,-0.683775016,-0.792670028,-2.384780885,-1.193397597,-0.547920613,-0.869813108,-0.628413885,22.1856611,26,22.28511775,25,22.35947738,24,22.31583915,23,21.89701385,24,22.35489333,25,21.62137205,26,0.0,0.0,-0.786976779,-0.895080777,-2.534340527,-1.316049845,-0.650353821,-0.984972474,-0.732434719
 03/18  03:15:00,22.15577404,24,22.26070028,24,22.33325969,24,22.28636501,24,21.85904276,24,22.3253353,24,21.5655586,24,0.0,0.0,-0.691076781,-0.800728951,-2.396868626,-1.205864725,-0.557862676,-0.886282281,-0.637201347,22.15577404,26,22.26070028,25,22.33325969,24,22.28636501,23,21.85904276,24,22.3253353,25,21.5655586,26,0.0,0.0,-0.794482955,-0.903365924,-2.547561882,-1.330951554,-0.660540931,-1.003063178,-0.741468111
 03/18  03:30:00,22.12475868,24,22.23565806,24,22.30411476,24,22.2568257,24,21.82028289,24,22.29565516,24,21.51166219,24,0.0,0.0,-0.699013344,-0.80980316,-2.409299176,-1.219178512,-0.568047718,-0.902741983,-0.646860137,22.12475868,26,22.23565806,25,22.30411476,24,22.2568257,23,21.82028289,24,22.29565516,25,21.51166219,26,0.0,0.0,-0.80264203,-0.912695019,-2.561140994,-1.345465627,-0.670977862,-1.021081094,-0.751397625
 03/18  03:45:00,22.0916183,24,22.20903865,24,22.2719363,24,22.22568501,24,21.77971552,24,22.26437302,24,21.45833857,24,0.0,0.0,-0.707485047,-0.819673273,-2.422494089,-1.233295604,-0.578831426,-0.919781052,-0.657004279,22.0916183,26,22.20903865,25,22.2719363,24,22.22568501,23,21.77971552,24,22.26437302,25,21.45833857,26,0.0,0.0,-0.811351334,-0.922842363,-2.575569659,-1.360866891,-0.682028496,-1.039441665,-0.761826056
 03/18  04:00:00,22.05611119,24,22.18032622,24,22.23717059,24,22.19252751,24,21.73659112,24,22.23114183,24,21.40353809,24,0.0,0.0,-0.716476303,-0.830151587,-2.436320897,-1.24810869,-0.590132817,-0.93786858,-0.667767748,22.05611119,26,22.18032622,25,22.23717059,24,22.19252751,23,21.73659112,24,22.23114183,25,21.40353809,26,0.0,0.0,-0.820594751,-0.933614929,-2.590717646,-1.377053209,-0.693609061,-1.058175937,-0.772891176
 03/18  04:15:00,22.01891643,24,22.14983081,24,22.20069646,24,22.15806309,24,21.69127031,24,22.1966791,24,21.34694289,24,0.0,0.0,-0.725875807,-0.841016487,-2.450531009,-1.26344083,-0.601745551,-0.956384628,-0.678898009,22.01891643,26,22.14983081,25,22.20069646,24,22.15806309,23,21.69127031,24,22.1966791,25,21.34694289,26,0.0,0.0,-0.830257826,-0.944784876,-2.606307612,-1.393838163,-0.705508278,-1.077299841,-0.784333312
 03/18  04:30:00,21.98089079,24,22.11817871,24,22.1633673,24,22.12309031,24,21.64465754,24,22.16174805,24,21.28888756,24,0.0,0.0,-0.735552623,-0.85207592,-2.464925993,-1.279069086,-0.613501114,-0.975388597,-0.690222767,21.98089079,26,22.11817871,25,22.1633673,24,22.12309031,23,21.64465754,24,22.16174805,25,21.28888756,26,0.0,0.0,-0.840205963,-0.956154772,-2.62210665,-1.410968442,-0.717553836,-1.096927836,-0.795975358
 03/18  04:45:00,21.94302756,24,22.08557206,24,22.12564933,24,22.08845234,24,21.59795676,24,22.12712411,24,21.23014953,24,0.0,0.0,-0.745579792,-0.863265367,-2.479099372,-1.295317432,-0.625101169,-0.995662037,-0.701392746,21.94302756,26,22.08557206,25,22.12564933,24,22.08845234,23,21.59795676,24,22.12712411,25,21.23014953,26,0.0,0.0,-0.850514325,-0.967658316,-2.637687697,-1.42794325,-0.729439888,-1.116663902,-0.807458178
 03/18  05:00:00,21.90526952,24,22.05266915,24,22.0880885,24,22.05388865,24,21.55108618,24,22.09255626,24,21.17142503,24,0.0,0.0,-0.755531709,-0.874337866,-2.493440241,-1.312068428,-0.636807197,-1.014736343,-0.712691135,21.90526952,26,22.05266915,25,22.0880885,24,22.05388865,23,21.55108618,24,22.09255626,25,21.17142503,26,0.0,0.0,-0.860745205,-0.97904155,-2.653433943,-1.445273937,-0.741435075,-1.136371609,-0.819353291
